ax,ay,az,dx,dy,dz,x,y,z
-14.437, 18.176, 15.160, -0.130, 1.525, 0.314, -0.008, 0.011, 0.013
-15.575, 13.549, 10.733, -0.127, 1.657, 0.136, -0.009, 0.011, 0.014
-16.170, 10.722, 7.586, -0.064, 1.989, 0.045, -0.010, 0.012, 0.014
-16.974, 8.012, 3.883, -0.014, 2.156, -0.015, -0.011, 0.013, 0.015
-17.175, 6.697, -0.359, 0.779, 0.505, -0.029, -0.013, 0.014, 0.015
-17.242, 6.540, -3.707, 0.397, 1.519, -0.019, -0.014, 0.014, 0.015
-17.005, 7.872, -5.755, 0.429, 1.761, -0.001, -0.015, 0.015, 0.014
-16.713, 9.208, -7.190, 0.360, 1.761, -0.007, -0.016, 0.015, 0.014
-16.631, 10.899, -7.698, 0.224, 1.546, -0.028, -0.017, 0.016, 0.013
-16.787, 12.261, -8.888, 0.100, 1.536, -0.093, -0.019, 0.017, 0.013
-16.668, 14.648, -10.858, -0.077, 1.726, -0.197, -0.020, 0.018, 0.012
-16.650, 17.507, -12.881, -0.287, 1.707, -0.336, -0.021, 0.019, 0.011
-16.595, 18.873, -15.653, -0.417, 1.484, -0.494, -0.022, 0.020, 0.010
-16.644, 18.618, -17.930, -0.599, 1.603, -0.824, -0.024, 0.022, 0.008
-16.346, 17.376, -20.374, -0.596, 1.343, -0.988, -0.025, 0.023, 0.007
-15.915, 15.173, -22.375, -0.662, 1.393, -1.383, -0.026, 0.024, 0.005
-15.635, 12.004, -24.318, -0.514, 1.122, -1.451, -0.027, 0.025, 0.004
-14.777, 8.093, -26.717, -0.511, 1.116, -1.837, -0.028, 0.026, 0.002
-14.044, 6.415, -29.977, -0.430, 0.845, -1.742, -0.029, 0.026, -0.000
-13.168, 5.942, -34.245, -0.506, 0.758, -2.045, -0.030, 0.027, -0.003
-12.139, 5.018, -37.837, -0.557, 0.518, -2.151, -0.031, 0.027, -0.006
-11.459, 2.684, -40.528, -0.553, 0.205, -2.014, -0.032, 0.027, -0.009
-11.318, 0.585, -41.290, -0.613, -0.087, -2.080, -0.033, 0.027, -0.011
-11.301, -1.647, -41.337, -1.535, -0.440, -2.393, -0.034, 0.027, -0.015
-11.675, -4.501, -41.455, -1.513, -0.782, -2.418, -0.034, 0.027, -0.018
-12.588, -6.193, -41.295, -1.220, -1.004, -2.138, -0.035, 0.027, -0.021
-14.406, -9.050, -41.637, -0.995, -1.311, -2.120, -0.036, 0.026, -0.023
-16.667, -10.448, -41.363, -0.877, -1.825, -2.343, -0.038, 0.025, -0.027
-19.691, -14.176, -38.159, -0.598, -1.940, -2.059, -0.039, 0.024, -0.029
-22.579, -19.574, -32.090, -0.530, -2.528, -2.288, -0.041, 0.023, -0.032
-24.542, -25.279, -24.184, -0.517, -2.824, -2.197, -0.042, 0.021, -0.034
-25.709, -33.741, -14.007, -0.617, -2.736, -1.821, -0.044, 0.019, -0.035
-25.720, -39.101, -3.588, -1.184, -3.399, -1.739, -0.046, 0.016, -0.035
-25.015, -39.101, 2.891, -0.381, -2.379, -1.129, -0.048, 0.013, -0.035
-24.549, -39.101, 3.333, -0.624, -2.643, -0.674, -0.050, 0.010, -0.035
-25.195, -36.938, -0.723, -2.359, -3.541, -0.087, -0.051, 0.008, -0.035
-26.717, -32.081, -3.936, -1.579, -3.258, 0.349, -0.054, 0.005, -0.035
