ax,ay,az,dx,dy,dz,x,y,z
-27.902, -4.253, 29.671, 0.139, -2.865, -2.099, -0.130, 0.017, -0.050
-22.658, -13.445, 29.671, -0.907, -2.901, -2.331, -0.132, 0.016, -0.048
-18.893, -19.949, 29.671, -1.089, -2.332, -1.818, -0.133, 0.015, -0.046
-15.107, -20.607, 29.671, -1.072, -2.263, -1.572, -0.134, 0.013, -0.044
-11.369, -16.814, 29.671, -0.677, -1.632, -1.000, -0.135, 0.012, -0.042
-8.735, -14.026, 29.671, -0.330, -1.367, -0.825, -0.136, 0.011, -0.039
-6.993, -12.423, 29.671, -0.067, -0.887, -0.628, -0.136, 0.010, -0.037
-6.111, -9.777, 29.671, 0.059, -0.414, -0.409, -0.137, 0.009, -0.035
-5.522, -6.439, 23.007, 0.103, -0.139, -0.290, -0.137, 0.009, -0.034
-4.840, -2.760, 13.898, 0.106, 0.024, -0.251, -0.138, 0.009, -0.032
-3.885, 0.395, 6.556, 0.072, 0.106, -0.239, -0.138, 0.009, -0.032
-3.073, 1.341, 0.992, 0.025, 0.164, -0.262, -0.138, 0.009, -0.031
-2.335, 0.376, -2.467, 0.227, -0.185, -0.334, -0.138, 0.009, -0.032
-2.072, -1.434, -4.553, -0.567, -0.297, -0.430, -0.139, 0.009, -0.032
-1.554, -2.456, -5.891, -0.541, -0.395, -0.434, -0.139, 0.008, -0.032
-1.230, -3.803, -5.792, -0.413, -0.441, -0.369, -0.139, 0.008, -0.033
-1.174, -5.665, -4.859, -0.363, -0.523, -0.347, -0.139, 0.008, -0.033
-1.020, -7.050, -3.261, -0.391, -0.666, -0.325, -0.139, 0.007, -0.033
-0.951, -7.545, -0.749, -0.603, -0.705, -0.232, -0.139, 0.007, -0.033
-1.045, -7.321, 1.755, 0.104, -0.393, -0.112, -0.139, 0.006, -0.033
-1.091, -6.131, 3.323, 0.048, -0.382, -0.020, -0.139, 0.006, -0.033
-1.299, -3.675, 4.164, 0.046, -0.412, 0.073, -0.139, 0.005, -0.033

-7.741, 5.672, 16.037, -0.087, 0.274, 0.244, -0.001, 0.000, 0.001
-8.022, 5.977, 16.972, -0.050, 0.376, 0.237, -0.001, 0.001, 0.002
-8.350, 5.911, 17.830, -0.025, 0.434, 0.199, -0.002, 0.001, 0.004
-8.751, 5.995, 19.143, 0.008, 0.544, 0.189, -0.002, 0.002, 0.005
-9.246, 5.505, 19.440, 0.019, 0.751, 0.194, -0.003, 0.002, 0.006
-9.702, 4.589, 19.508, 0.012, 0.900, 0.179, -0.004, 0.002, 0.008
-10.348, 3.344, 19.620, 0.010, 0.936, 0.153, -0.004, 0.003, 0.009
-11.294, 2.355, 19.540, 0.026, 1.216, 0.191, -0.005, 0.003, 0.011
-12.270, 2.304, 18.440, 0.057, 1.229, 0.211, -0.006, 0.003, 0.012
-13.261, 2.941, 16.469, 0.111, 1.550, 0.290, -0.007, 0.003, 0.013
-14.440, 3.990, 14.262, 0.153, 1.512, 0.298, -0.008, 0.004, 0.014
-15.267, 4.647, 12.575, 0.224, 1.835, 0.357, -0.009, 0.004, 0.015
-16.442, 4.887, 12.160, 0.241, 1.737, 0.321, -0.010, 0.004, 0.016
-17.535, 5.061, 12.205, 0.344, 2.074, 0.370, -0.012, 0.005, 0.017
-18.916, 4.659, 11.887, 0.374, 1.963, 0.334, -0.013, 0.005, 0.018
-20.325, 4.463, 10.332, 0.483, 2.369, 0.398, -0.015, 0.005, 0.019
-21.868, 4.945, 7.297, 0.499, 2.271, 0.388, -0.016, 0.006, 0.019
-23.008, 6.008, 3.161, 0.600, 2.828, 0.481, -0.018, 0.006, 0.019
-24.141, 8.285, -1.578, 0.961, 1.784, 0.461, -0.019, 0.007, 0.019
-23.684, 10.896, -6.556, 0.928, 2.394, 0.531, -0.021, 0.007, 0.019
-23.507, 17.521, -7.985, 0.859, 2.416, 0.515, -0.023, 0.009, 0.018
-23.190, 21.735, -9.128, 0.657, 2.153, 0.341, -0.025, 0.010, 0.018
-23.223, 24.538, -10.444, 0.457, 2.158, 0.127, -0.026, 0.012, 0.017
-23.537, 24.112, -12.138, 0.221, 2.429, -0.176, -0.028, 0.014, 0.016
-23.531, 21.502, -14.007, -0.128, 2.423, -0.535, -0.030, 0.015, 0.015
-23.692, 17.212, -15.135, -0.392, 2.124, -0.786, -0.031, 0.016, 0.014
-23.677, 13.313, -15.930, -0.669, 2.342, -1.182, -0.033, 0.018, 0.013
-23.611, 10.189, -16.764, -0.716, 2.031, -1.266, -0.035, 0.018, 0.012
-23.677, 7.016, -17.853, -0.835, 2.216, -1.643, -0.037, 0.019, 0.010
-23.215, 5.668, -19.840, -0.680, 1.908, -1.599, -0.038, 0.019, 0.009
-22.712, 6.378, -24.505, -0.696, 2.070, -1.915, -0.040, 0.020, 0.007
-20.907, 7.445, -30.823, -0.645, 1.737, -1.829, -0.041, 0.020, 0.005
-18.729, 6.068, -37.839, -0.822, 1.777, -2.258, -0.043, 0.021, 0.002
-15.769, 0.302, -46.202, -0.776, 1.358, -2.209, -0.044, 0.021, -0.001
-12.270, -7.835, -48.799, -1.637, 1.200, -2.645, -0.045, 0.020, -0.004
-9.804, -16.633, -48.799, -1.327, 0.700, -2.372, -0.046, 0.019, -0.008
-7.282, -21.767, -48.799, -1.088, 0.336, -2.502, -0.046, 0.018, -0.012
-4.651, -23.406, -48.799, -0.994, -0.062, -2.008, -0.047, 0.016, -0.015
-4.007, -25.941, -48.799, -1.318, -0.494, -2.075, -0.047, 0.014, -0.019
-4.425, -31.365, -48.799, -1.109, -0.853, -1.649, -0.047, 0.012, -0.022
-5.973, -33.719, -48.799, -0.879, -1.461, -1.544, -0.048, 0.009, -0.026
-7.571, -38.643, -48.799, -0.957, -1.916, -1.218, -0.048, 0.006, -0.030
-11.792, -39.265, -48.799, -1.054, -2.123, -0.719, -0.049, 0.004, -0.033
-15.472, -37.823, -41.461, -1.191, -2.818, -0.304, -0.050, 0.001, -0.036
-19.450, -33.815, -33.333, -1.010, -2.787, 0.128, -0.052, -0.001, -0.038
-23.235, -29.145, -28.304, -1.006, -2.993, 0.470, -0.053, -0.003, -0.040
