ax,ay,az,dx,dy,dz,x,y,z
-11.356, 15.909, 29.671, -0.440, -2.002, 1.219, -0.078, 0.008, -0.026
-8.440, 19.788, 29.671, -0.250, -1.394, 0.982, -0.079, 0.009, -0.024
-5.967, 22.706, 29.671, -0.091, -1.151, 0.926, -0.079, 0.011, -0.021
-4.151, 23.911, 29.671, 0.049, -0.639, 0.613, -0.079, 0.013, -0.020
-3.139, 20.593, 29.671, 0.181, -0.265, 0.402, -0.080, 0.014, -0.017
-2.849, 14.023, 29.671, 0.260, 0.166, 0.125, -0.080, 0.015, -0.015
-3.354, 9.729, 29.671, 0.365, 0.599, 0.014, -0.080, 0.016, -0.013
-4.467, 8.988, 29.671, 0.327, 0.842, -0.017, -0.080, 0.017, -0.011
-5.979, 8.479, 29.671, 0.319, 1.245, -0.075, -0.081, 0.018, -0.009
-7.986, 6.685, 29.671, 0.262, 1.333, -0.150, -0.081, 0.018, -0.007
-9.994, 3.576, 29.671, 0.331, 1.741, -0.264, -0.082, 0.018, -0.004
-12.064, -0.208, 28.982, 0.397, 1.976, -0.319, -0.083, 0.018, -0.002
-13.594, -2.758, 21.005, 0.372, 1.938, -0.278, -0.084, 0.018, -0.001
-14.932, -3.410, 13.407, 0.339, 2.070, -0.225, -0.085, 0.018, 0.000
-16.063, -3.007, 7.595, 0.326, 2.444, -0.198, -0.086, 0.018, 0.001
-16.970, -2.300, 2.857, 0.294, 2.624, -0.159, -0.087, 0.018, 0.001
-17.235, 0.230, -1.980, 0.643, 1.726, -0.110, -0.089, 0.018, 0.001
-17.279, 2.032, -6.326, 0.632, 1.886, -0.127, -0.090, 0.018, 0.001
